back	adv.回原处?n.背?后面?adj.后面的?v.后退
whittle	v.切? 削?n.屠刀
supersede	v.代替? 取代
dehydrate	v.(使)脱水?v.脱水
amino	adj.氨基的?n.[化学] 氨基
fertilization	n.肥沃? 施肥? 授精
celestial	adj.天上的?n.神仙?adj.天空的， 天上的
victory	n.胜利?[罗神]胜利女神
tent	n.帐篷
petrifaction	n.石化? 化石
regolith	n.[地质]风化层? 土被
marrow	n.精华? 活力
ptarmigan	n.松鸡类
hydroxyapatite	n.[矿]羟磷灰石
percolate	n.滤过之液体?滤液?v.过滤?v.过滤；渗入，渗透；逐渐流传，传开?n.滤液
mudflats	n.泥滩
mineralize	v.使矿物化?采集矿物
calcareous	adj.钙质的?石灰质的
tailor	n.裁缝?v.剪裁? 缝制
eyebrow	n.眉毛
bedcover	n.被面
pillow	n.枕头? 枕垫?v.枕着
heal	v.治愈? 医治
vaguely	adv.含糊地? 暧昧地
hundredfold	adj.百倍的?n.百倍? 百重
agriculturally	adv.农业上
pinhead	n.针头? 小东西
immersion	n.沉浸?专心
founding	adj.创办的?n.资金
nail	n.指甲?钉子?v.将钉牢?n.指甲，爪；钉?vt.将…钉牢， 钉住
entertain	v.娱乐?招待?v.招待， 款待； 使快乐， 娱乐
scuba	n.水中呼吸器?n.水中呼吸器， 水肺
sunlit	adj.被日光照射了的? 阳光照射的?adj.阳光照射的
unsatisfactory	adj.不令人满意的?不满足的
separately	adv.分别地?分离地
collectible	adj.可收集的? 可代收的
rider	n.骑手? 附文? 扶手
opera	n.歌剧
orchestral	adj.管弦乐的?管弦乐队的
landslide	n.[地]山崩? 滑坡?n.山崩， 塌方； 压倒性胜利
counteract	v.抵消? 中和? 阻碍?vt.消除； 抵消
stature	n.身高?(精神、道德等的)高度?n.身材， 身高； 地位， 声望， 名望
relaxation	n.松弛? 放宽
remediation	n.补习?补救
unincorporated	n.未联合的?未合并的
profile	n.侧面?轮廓?n.人物专访；概述，传略，人物简介；面部的侧影；轮廓，外形?vt.扼要介绍， 概述
spurge	n.[植]大戟
corner	n.角落? (街道)拐角处?v.迫至一隅?把难住
calotype	n.光力照像法
molasses	n.<美>糖蜜
battlefield	n.战场? 沙场
dish	n.盘? 碟?v.把…装盘
needlefish	n.[动] 颌针鱼(一种长嘴便鳞之海鱼)
fireball	n.火球? 大流星
improvisation	n.即席创作
meteor	n.流星? 大气现象?n.流星
comprehensible	adj.可理解的?adj.可理解的， 能懂的， 能充分理解的
etch	v.蚀刻
my	pron.我的
hay	n.干草
hale	adj.强壮的?v.硬拖
instantly	adv.立即地? 即刻地
ingoing	adj.进入的?n.进入?迁就
realistically	adv.现实地?逼真地
artistry	n.艺术之性质
knowledgeable	adj.知识渊博的? 有见识的
organically	adv.器官上地? 有机地
geomagnetic	adj.地磁的?地磁气的
magnetize	v.使磁化? 吸引
recess	n.(墙壁等的)凹进处?v.使凹进?休假?n.休会期；休庭；暂停；凹室，
bonito	n.鲣
hatchling	n.人工孵化的鱼苗或小鸟
hilly	adj.多小山的? 多坡的
elongate	v.拉长? (使)伸长?adj.伸长的?v.延长， 伸长
linoleum	n.油布? 油毯
customarily	adv.通常?习惯上
franklin	n.小地主? 乡绅
morally	adv.道德上
inconspicuous	adj.不显眼的?不引人注意的?adj.不引人瞩目的， 不显眼的
utterance	n.意见? 说话? 发表
treasury	n.财政部? 国库
heartbeat	n.心跳
scat	v.迅速走开?n.爵士音乐中无意义的音节的演唱
unexplored	adj.[地质] 未勘查过的
playground	n.运动场? 操场
upland	n.丘陵地? 高地?adj.高地的?山地的
friendliness	n.友谊?友善
wingspan	n.[空]翼展
campus	n.<美>校园?大学教育?n.校园
flicker	n&v.闪烁?摇曳
anvil	n.[解]砧骨
excellence	n.优秀? 卓越
loggerhead	n.傻子?铁球棒
pertain	v.适合? 属于?vi.存在； 适用
dike	n.堤防?v.筑堤提防
explosive	adj.爆炸(性)的?暴露?n.爆炸物?adj.爆炸的，爆发的；使人冲动的?n.炸药
rooftop	n.屋顶?adj.屋顶上的
interplanetary	adj.太阳系内的?行星间的
actor	n.男演员?行动者
lovely	adj.可爱的?有趣的
caput	n.头? 首
receptiveness	n.感受性?接受能力
punish	v.惩罚?处罚
animate	v.鼓舞?adj.生气勃勃的?adj.活的， 有生命的?vt.赋予生命， 使有活力
militaristic	adj.军国主义的
acreage	n.英亩数? 面积
impersonation	n.扮演
reabsorb	v.再吸附?重吸收
squarely	adv.方形地? 直角地
Henderson	n.亨德森（姓氏）
prisoner	adj.囚犯的?n.战俘
October	n.十月(略作Oct)
rawhide	n.生牛皮?vt.用生牛皮鞭抽打?adj.生牛皮的
nonagricultural	adj.非农业的
dale	n.宽谷? 溪谷
devastation	n.毁坏?荒废
fletcher	n.<古>造箭者?弗莱彻
paradoxically	adv.相矛盾地?似非而是地
flute	n.长笛?v.吹长笛?刻槽
pedagogy	n.教学? 教授?n.教育学， 教学法
exuberant	adj.繁茂的?生气勃勃的
reaper	n.收割者? 收割机
anxiously	adv.忧虑地? 不安地
elephant	n.象
bellow	v.怒吼? 咆哮
unreal	adj.不真实的? 虚幻的
fond	adj.喜欢的?温柔的
receptive	adj.善于接受的?能容纳的?adj.接受得快的； 善于接受的， 能接纳的
unplanned	adj.意外的?在计划外的
nomad	n.游牧部落的人?流浪者?adj.游牧的
Mongolia	n.蒙古
sexually	adv.性别地?两性之间地
lifeway	n.生活方式? 生活
facade	n.正面
torrid	adj.晒热的?热情的
kindergarten	n.幼儿园?adj.幼儿园的?启蒙阶段的
neuron	n.[解]神经细胞?神经元?n.神经元， 神经细胞
eukaryote	n.〈生〉真核细胞
commensal	adj.共餐的?n.共食伙伴? 共生物
living	n.生活?生计?adj.活的?逼真的
inadvertently	adv.非故意地?不注意地
volt	n.(马术中的)环骑?[电工]伏特
roadbed	n.路基
encompass	v.包围?环绕?vt.包含； 环绕
metabolize	v.产生代谢变化
administer	v.管理? 给予? 执行?vt.管理； 执行； 给予， 提供
fasten	v.扎牢?扣住?v.使固定； 系牢， 扎牢； 握住， 抓牢
diversify	v.使多样化? 作多样性的投资?v.多样化， 不同
neurospora	n.[微]脉孢菌
yellowstone	n.黄石国家公园? 黄石河
mosquito	n.蚊子
paucity	n.极小量?n.极小量， 少量
burin	n.冰凿?雕刻刀
walrus	n.[动]海象? 海象胡须
incubator	n.培养的器具? 孵卵器
poorhouse	n.救济院
subsidize	v.资助?津贴
excitation	n.刺激?兴奋? 激动
amniotic	adj.[昆] 羊膜的
porpoise	n.[动]海豚? 小鲸
spew	v.喷涌?呕吐?v.喷涌；射出；呕吐，呕出?n.喷出物
emanate	v.散发?发出?v.散发； 表现， 显示
noxious	adj.有害的?adj.有害的； 有毒的
shun	v.避开?避免
individually	adv.个别地?单独地
aggregation	n.集合?集合体
erectus	adj.[拉丁语]直立的
sleepiness	n.想睡?瞌睡
oneness	n.单一? 统一
excrete	v.排泄? 分泌
namely	adv.即?也就是
infection	n.传染病? 影响?n.传染， 感染； 传染病
piling	n.打桩? 打桩工程
button	n.钮扣?v.扣住?扣紧
workforce	n.劳动力?职工总数
analyst	n.分析家? 分解者
regulator	n.调整者?调整器
toolmaking	n.工具(或刀具)制造?机床维修
essay	n.散文?n.散文， 随笔； 短文； 评论
morphology	n.[生物]形态学? [语法]词法?n.形态学， 形态论
hiccup	n.打嗝?v.打嗝
sow	n.大母猪?v.播种?散布?v.播种， 种； 灌输； 煽动
platypus	n.[动]鸭嘴兽
nurse	n.护士?保姆?v.护理?照料
damp	n.湿气?adj.潮湿的?v.使潮湿?阻尼?n.潮湿；湿气?vt.弄湿； 减弱， 抑制
halite	n.[化]岩盐
subsist	v.生存? 存在? 供养?vi.存活， 生存
July	n.七月(略作Jul)
balloon	n.气球?v.膨胀
meteorologist	n.气象学者
rust	n.铁锈?v.(使)生锈?锈蚀?v.生锈?n.锈， 铁锈； 锈病
undeveloped	adj.不发达的? 未开发的
conestoga	n.一种大篷马车
unexpectedly	adv.出乎意料地?意外地
nowcasting	n.预告
readership	n.读者的身分? 读者人数
pencil	n.铅笔
individuality	n.个性?(通常用复数)个人的嗜好
squander	v.浪费?n.浪费?vt.浪费， 挥霍
cheese	n.干酪
mesopotamian	n.美索不达米亚（两河流域）
birdlike	adj.敏捷轻快的?似鸟的
somerset	n.翻筋斗?vi.翻筋斗
appetite	n.食欲?欲望?n.胃口， 食欲； 欲望
dampen	v.使潮湿?沮丧
textural	adj.组织的?结构的
ribbon	n.缎带?丝带?v.撕成条?n.带状物； 丝带， 缎带； 绶带； 色带
derrick	n.起重机? (钻井)井口上的铁架塔
phoenix	n.凤凰?完人
impersonal	adj.客观的?没有人情味的?adj.没有人情味的， 冷淡的； 客观的
secular	adj.长期的?世俗的?adj.现世的； 世俗的； 非宗教的
onward	adj.向前的?adv.向前?在前面
pluto	n.冥王星? 阴间之神
chicopee	n.奇科皮（美国马萨诸塞州西南部城市）
patchy	adj.补丁的? 不调和的
clinical	adj.临床的?诊所的
verbalize	v.用语言描述?累赘?v.用言语表达
generator	n.发电机? 发生器
fare	n.费用?票价?v.遭遇? 进展?vi.进展?n.费用
cellulose	n.纤维素?（植物的）细胞膜质
Patricia	n.帕特丽夏（女子名）
yam	n.山药? 洋芋
sharper	n.磨具?(赌博中的)骗子
candlelight	n.烛火?黄昏
allocation	n.分配?安置
vantage	n.优势?有利情况
flowerbed	n.花床?花圃
debatable	adj.成问题的?未决定的?adj.有争议的
petrochemical	adj.石化的?n.石化产品
objectify	v.使客观化?具体化
vacate	v.腾出? 空出?离(职)?退(位)?vt.腾出， 空出； 离， 退
subtropic	adj.亚热带的?副热带的
scenic	adj.舞台的? 景色优美的?n.风景照片
tusk	n.长牙?v.以牙刺戳
meaty	adj.肉的?多肉的
resilient	n.帕特森（美国一座城市）
indigestible	adj.不吸收的?难理解的
subtitle	n.说明对白的字幕?v.给…加字幕
prolifically	adj.丰富地?多产地
elevator	n.电梯?升降机
rigidity	n.刻板?严格
riverbank	n.河堤? 河岸
landslip	n.[地]山崩?塌方
ephemeral	adj.朝生暮死的? 短暂的?adj.短暂的， 转瞬即逝的
monotonous	adj.单调的?无抑扬顿挫的?adj.单调的， 无聊的
aquatic	adj.水的?水生的?n.水生动物?adj.水生的； 水上的
vibration	n.振动?颤动?n.振动， 颤动
loop	n.环?回路?v.使成环?打环
unionization	n.联合? 结合
aboveground	adj.在地面上的?adv.地面上地
encroachment	n.侵蚀? 侵犯
semicircular	adj.半圆的
handsome	adj.英俊的?大方的
snout	n.猪嘴?鼻子
weightlessness	n.无重状态
suggestive	adj.提示的?暗示的
rougher	n.粗切机?粗选槽
peat	n.泥煤? 泥炭块
mystique	n.神秘性?奥秘
lengthwise	adj.纵长的?adv.纵长地
Victorian	adj.维多利亚女王时代的
grace	n.优美? 雅致?v.使优雅
Chile	n.智利
hander	n.支持器?夹头
ninety	num.九十
alpha	n.希腊字母的第一个字母
cousin	n.堂兄弟姊妹? 表兄弟姊妹?n.堂兄弟， 堂姐妹
sleeper	n.睡眠?枕木
colonizer	n.殖民者?殖民地开拓者? 移民
welland	n.韦兰（加拿大东南部港口城市）
unmatched	adj.无与伦比的?不相配的
nutritive	adj.营养的?n.营养物
revision	n.修订?修正?修订本
inception	n.起初? 获得学位?n.开端， 开始
morris	n.莫理斯舞(英国传统民间舞蹈)
nonfiction	n.非小说的散文文学
brilliantly	adv.辉煌地?灿烂地
eighty	num.八十? 八十个
flexibly	adv.易曲地? 柔软地
sandal	n.凉鞋? 檀香
creep	v.爬? 蹑手蹑脚?n.爬行?vi.缓慢行进； 爬行； 悄悄地移动
grotto	n.洞穴?人工洞室
salad	n.色拉
prostrate	adj.降伏的?俯卧的?v.使屈服
protector	n.保护者
bode	v.预示?vi.预示
club	n.俱乐部?(扑克牌)梅花?v.募集
hump	n.驼峰?峰丘?v.(使)隆起
indecipherable	adj.无法解释的?难辨认的?adj.无法破译的； 难以领悟的
substantiate	v.使实体化?证实?vt.证实， 证明
ghost	n.鬼? 幽灵
faint	n.昏晕?v.昏晕?adj.头晕的?vi.昏厥，晕倒?adj.模糊的，不清楚的；无力的，虚弱的；眩晕的?n.昏厥
Peru	n.秘鲁
diva	n.歌剧中的首席女主角
nonstop	adj.不断的?直达的?adv.不休息地
bifocal	adj.双焦点的
cougar	n.[动]美洲狮(尤指Felis concolor)
smear	v.涂污?弄脏?n.油迹? 涂片?v.胡乱涂抹；弄脏；诽谤，诋毁?n.污迹， 污斑； 诽谤， 诋毁； 涂片
ocher	n.黄土? 赭土
mentally	adv.精神上? 智力上
obliterate	v.涂去? 删除? 使湮没?vt.覆盖； 消灭； 忘却
conceivable	adj.可能的?想得到的?adj.可能的； 可信的， 可想象的
internationally	adv.国际性地? 在国际间
greenish	adj.呈绿色的
succinct	adj.简洁的? 紧身的
midway	n.中途?半路?adj.中途的?adv.在中途
unsung	adj.未唱的?未赞颂的
fungicide	n.杀真菌剂
popularize	v.普及
changeable	adj.可改变的?无常的
notebook	n.笔记簿? 笔记本
theoretical	adj.理论的?理论上的?adj.不切实际的； 理论的
figural	adj.借喻的?比喻的
determinant	adj.决定性的?n.决定因素
overtax	v.课税过重? 使负担过度
youth	n.青春?少年
custodial	adj.保管的?保管人的?n.[宗]圣物保管容器
academician	n.院士? 大学生
cole	n.油菜? 小菜
impressionistic	adj.印象派的?给人深刻印象的
fortuitously	adv.偶然地?意外地
thriller	n.使人毛骨悚然的东西? 使人毛骨悚然的小说
plentifully	adv.丰富地?富裕地
breadbasket	n.<俚>胃? 腹
annihilate	v.消灭?湮灭
sectional	adj.可组合的?部分的
routinely	adv.例行公事地
predicament	n.困境?窘状
thermometer	n.温度计? 体温计
divergence	n.分歧
oceanography	n.海洋学
outbuilding	n.[建]外屋? (指车库? 谷仓等)
forbes	n.福布斯（美国著名财经杂志）
grama	n.美国西部产的一种牧草
rhyolite	n.[地]流纹岩
comparably	adv.同等地?可比较地
transmitter	n.转送者?传导物?发射机
exponential	n.指数?adj.指数的? 幂数的
gesso	n.(雕刻、绘画用的)石膏? 石膏粉
capitalism	n.资本主义
deference	n.顺从? 尊重
cumbersome	adj.笨重的?累赘的?adj.笨重的； 麻烦的； 累赘的， 冗长的
weft	n.[纺]织物?信号旗
dire	adj.可怕的?极端的
pendant	n.垂饰? 下垂物?n.垂饰， 下垂物
basketmaking	n.篮子编织
generalist	n.多面手?通才
kennel	n.狗窝?v.置于狗窝?关进狗窝?n.狗窝； 养狗场
postmaster	n.邮局局长
interestingly	adv.有趣地
concomitant	adj.伴随的?n.伴随物
patient	n.病人?adj.耐心的?adj.有耐心的，能忍耐的?n.病人， 患者
rigidly	adv.坚硬地? 严格地
renounce	v.宣布放弃?断绝关系
observatory	adj.天文台?气象台?n.天文台， 天文观测站
urbanism	n.都市生活?都市化
refrigeration	n.冷藏? 致冷
harshly	adv.严厉地? 苛刻地
chitin	n.壳质? 角素
Jules	n.朱尔斯（男子名）
reviewer	n.批评家?评论家
triassic	adj.[地]三叠纪的?n.三叠纪
adjunct	n.附件? 助手?adj.附属的?n.附加物， 附件； 附加语， 修饰语
glasswork	n.玻璃制品?v.制成玻璃状的
sate	v.使心满意足
flier	n.飞行者?快车?宣传单
deplorable	adj.可叹的?凄惨的
midday	n.正午
auto	n.自动?<美口>汽车
loneliness	n.孤独? 寂寞
hopeless	adj.没有希望的?不可救药
interchangeable	adj.可互换的?可交换的
puncture	n.小孔?v.刺破?v.刺穿；泄气，挫伤?n.小孔； 刺伤
glandular	adj.腺的?腺状的
glycoside	n.[化]配醣? 配糖类
preform	v.预先形成?n.粗加工的成品
unusable	adj.不能用的?与众不同的
inducible	adj.可诱导的?可导致的
sepal	n.萼片
snippet	n.小片? 片断
glycoprotein	n.[化]糖蛋白类? 醣蛋白
cardiac	n.强心剂?adj.心脏的? (胃的)贲门的?adj.心脏的； 心脏病的
glial	adj.神经胶质的
autonomic	adj.自治的? 自律的
ending	n.结尾? 结局
preoccupation	n.全神贯注?当务之急?n.主要考虑因素； 全神贯注
coyote	n.一种产于北美大草原的小狼? 山狗
endowment	n.捐赠?天资?捐款
puddle	n.水坑? 泥潭?v.搅浊?搅泥泞?n.水坑， 水洼
proboscis	n.鼻子?[昆] 喙
crimson	adj.深红色的?v.变深红色?n.深红色
exhaustion	n.耗尽枯竭?疲惫?竭尽
winner	n.胜利者?优胜者
anthropological	adj.人类学的?人类学上的
structurally	adv.在结构上
polyphony	n.复调音乐? 多音
cornet	n.圆锥形纸袋? 短号
maize	n.玉米? 黄色?adj.玉米色的?n.玉米
chivalry	n.骑士精神? 骑士制度
unadorned	adj.朴素的?未装饰的?adj.未装饰的， 朴实的
brave	adj.勇敢的
hotelkeeper	n.旅馆经营者
inn	n.(尤指乡村或公路边的) 旅馆?vi.住旅馆
paraphrase	v.解释?n.释义?v.解释； 改写
unselfish	adj.无私的?慷慨的
disco	n.迪斯科舞厅
nonself	n.(有机体的)异物
ragtime	n.拉格泰姆音乐?adj.使人发笑的
unrestricted	adj.自由的?无限制的
quasar	n.恒星状球体? 类星体?n.类星体
concertina	n.类似风琴的六角形的乐器
bedroom	n.卧室
quill	n.羽茎?大翎毛?vt.刺穿
bolster	n.垫子?v.支持?vt.支持；改善?n.垫子， 枕垫
halt	n.停止?暂停?v.停止?使立定?v.停住， 停下?n.停止，阻止；暂停
exhale	v.呼气?发出?v.呼出； 散发
angstrom	n.[物理]埃(长度单位)
microscopy	n.显微镜检查?显微镜使用
narcotic	n.麻醉药?镇静剂?adj.麻醉的
narcosis	n.昏迷状态? 麻醉
embolism	n.加闰日? 栓塞
abrasion	n.磨损?n.表面磨损
proportionally	adv.成比例地?相称地
virgo	n.室女宫?室女(星)座
freighter	n.货船?承运人
thinly	adv.稀疏地?瘦
Andromeda	n.埃塞俄比亚的公主? 仙女座
yardstick	n.<美> 码尺? 准绳
exalt	v.晋升?vt.高度赞扬， 褒扬； 提升， 提拔
monoxide	n.一氧化物
ingot	n.[冶]锭铁? 工业纯铁
grievance	n.委屈? 冤情? 不平
conjectural	adj.推测的?好推测的
knot	n.(绳等的)结?v.打结
notch	n.槽口?刻痕?v.刻凹痕?n.等级，档次；
oystercatcher	n.〈动〉蛎鹬
shorebird	n.岸禽类鸟?沙禽
photogrammetry	n.照相测量法
mandible	n.下颚? 下颚骨
attire	n.服装?v.打扮?n.穿着，服饰?vt.给…穿衣， 打扮
unravel	v.拆开?拆开?v.澄清； 解体， 瓦解； 解开
glassmaking	n.玻璃(或玻璃器皿等)制造(术)
Katherine	n.凯瑟琳（女子名）
malleability	n.有延展性? 柔韧性
deft	adj.敏捷熟练的? 灵巧的
baedeker	n.旅行指南? 入门手册
sword	n.剑
microfossil	n.微体化石?微化石
entomb	v.埋葬? 成为的坟墓
burgher	n.公民? 市民
puffin	n.[鸟]角嘴海雀
insoluble	adj.不能溶解的? 不能解决的
reliability	n.可靠性
unemployed	adj.失业的? 未被利用的
immobility	n.牢固?不动
hydrographic	adj.水道测量数的?水道学的
portraiture	n.肖像画法?n.画像技法； 肖像， 画像
talented	adj.有才能的
homework	n.家庭作业? 副业
filmmaker	n.电影摄制者
understate	v.打着折扣说?有意轻描淡写?vt.轻描淡写， 避重就轻地说
narrate	v.叙述?作解说?v.讲述， 叙述
lean	n.倾斜?倚靠?v.依靠?倾斜?adj.贫乏的
consort	v.结交?符合?n.配偶?vi.结交； 鬼混?n.配偶； 团伙
gannet	n.塘鹅
underwing	n.后翅? 后翅色彩瑰丽的蛾
exorbitant	adj.（要价等）过高的?（性格等）过分的?adj.过高的， 不合理的
gondwanaland	n.[地]冈瓦纳大陆
gunpowder	n.黑色火药? 有烟火药
herring	n.青鱼? 鲱
earner	n.赚钱的人
angular	adj.[生物] 有角的?生硬的?笨拙的?adj.有角的， 尖角的； 消瘦的， 瘦骨嶙峋的
wren	n.[动] 鹪鹩
kinglet	n.<贬>懦弱的国王?小国君主
uniformity	n.一致?均匀?n.同样， 一致； 一致性
priestess	n.女祭司? (基督教会以外的)神职人员
neoclassical	adj.新古典主义的
thousandfold	adv.千倍地?adj.千倍的
enjoyment	n.享乐? 快乐
forester	n.林务官? 森林人
spoilage	n.损坏
nonthreatening	adj.非胁迫的
solder	n.焊料?v.焊接?vt.焊接?n.焊料， 焊锡
harshness	n.粗糙的事物? 严肃? 刺耳
collagen	n.胶原质
idle	adj.空闲的?懒惰的?v.虚度? 闲散?adj.懒散的；没有工作的，闲散的；空闲的；漫无目的的；无用的，无效的?v.无所事事， 虚度
sumptuous	adj.奢侈的?华丽的?adj.奢华的， 豪华的
synchrotron	n.同步加速器
landlord	n.房东?地主
familiarity	n.熟悉?通晓?精通
stringent	adj.严厉的?迫切的
signature	n.签名?信号
cabinetmaker	n.家具师?细工木匠
supervisory	adj.监督的
resentment	n.怨恨?愤恨
purposely	adv.故意地?蓄意地
irresponsibly	adv.不负责任地?不可靠地
grapple	v.格斗?抓住?n.格斗
revealingly	adv.启发人地?袒胸露肩地
rearrange	v.再排列?重新整理
roar	n.吼叫? 怒号?v.滚动?咆哮
armory	n.兵工厂?军械库
courtship	n.求爱? 求爱时期
sleek	adj.圆滑的?使…光滑?adj.光滑而有光泽的；线条流畅的；时髦的?vt.使平整光亮
corselet	n.盔甲?胸衣
keel	n.龙骨(船的脊骨)?平底船?v.装以龙骨?倾覆
secrecy	n.秘密?保密
lira	n.里拉（意大利货币单位）
livelihood	n.生计?谋生?n.生计， 谋生手段
impediment	n.妨碍?口吃? 障碍物
bow	n.弓?弓形?v.鞠躬?弯腰
silhouette	n.侧面影象?轮廓?v.使…照出影子来
inward	adv.向内?在内?adj.向内的?内在的
marketable	adj.市场的?可销售的
mudstone	n.[地]泥岩
carcass	n.(屠宰后)畜体
meteoritic	adj.陨星的?陨石的
offshoot	n.分支? 支流
inborn	adj.天生的?生来的
stereotypical	adj.老一套的?陈规的
manipulation	n.处理?操纵
lifelike	adj.栩栩如生的?逼真的
bipedal	adj.两足动物的?两足的
antiquate	adj.旧式的?过时的
chondritic	adj.球粒状陨石的
replicate	v.复制?adj.复制的?v.复制； 再制， 再生
painful	adj.疼痛的?使痛苦的
weldon	n.韦尔登（男子名）
stonework	n.石雕工艺? 做石工的场所
uncle	n.伯父?叔父?援助者
unanswered	adj.未答复的?无反应的
greet	v.问候?向致意
journalist	n.新闻记者?从事新闻杂志业的人
mantel	n.壁炉架
desalination	n.减少盐分? 脱盐作用
reappear	v.再出现
carton	n.硬纸盒? 纸板箱
wan	adj.苍白的?病态的?v.(使)变苍白?adj.苍白的， 无血色的； 憔悴的
elegance	n.高雅?典雅
horsepower	n.马力
airport	n.机场?航空站
duchenne	n.杜氏营养不良症
reopen	v.重开?再开始
immutable	adj.不变的?不可变的?adj.不可改变的， 永恒不变的
permeability	n.渗透性
afterwards	adv.然后? 后来地
consolidation	n.巩固? 合并
waterfowl	n.水鸟? 水禽
efficacious	adj.有效的?灵验的
permeable	adj.有浸透性的? 能透过的
fanwise	ad&?adj.呈扇形展开的
riverbed	n.河床
expertly	adv.熟练地
stipulate	v.规定? 保证?v.规定， 明确要求； 约定
sandbar	n.沙洲
contingent	adj.可能发生的? 附随的?n.偶然的事情
congenial	adj.意气相投的?性格相似的?adj.情投意合的； 相宜的， 适宜的； 适当的， 合适的
faucet	n.龙头? (连接管子的)插口?n.龙头， 旋塞
preponderance	n.优势?占优势?n.优势
imperfect	adj.有缺点的?未完成的?n.未完成体
homeotherm	n.<主美>恒温动物
envy	n.羡慕?嫉妒?v.羡慕?嫉妒
drape	n.窗帘?v.使褶皱
drip	n.水滴?v.(使)滴下
jewel	n.宝石
practicality	n.实用性?实际
pictorial	adj.图示的?n.画报?adj.图示的，有图片的；绘画的，图画的?n.画报， 画刊
bland	adj.温和的?乏味的?v.变得乏味?adj.平淡的， 乏味的； 清淡的； 沉稳的
unschooled	adj.天生的?未受学校教育的
harmless	adj.无害的
burgeon	n.嫩芽?v.萌芽?vi.迅速成长， 发展
ashcan	n.垃圾桶? 深水炸弹
literalness	n.文字的?表面意义上的
flyspeck	n.污点?小斑?v.弄脏
rennin	n.高血压蛋白原酶
hormonal	adj.荷尔蒙的?激素的
angiotensin	n.[医]血管紧缩素
aldosterone	n.[生化]醛甾酮?醛固酮
mandate	n.(书面)命令?训令?v.委任统治?v.强制执行； 授权?n.授权；委托书，授权令；任期
mammalian	n.哺乳动物?adj.哺乳动物的
unfairly	adv.不公平地?不正当地
burdensome	adj.繁重的?难以承担的
confederate	n.同盟者?同盟国?adj.同盟的?v.(使)联盟? 联合
pardon	v.原谅?宽恕?n.原谅
gymnastic	adj.体操的?体育的?n.训练课程
peacetime	n.和平时期?adj.和平时期的
nobility	n.高贵?贵族
ponderous	adj.笨重的?沉闷的?adj.笨重的； 笨拙的； 沉闷的
thresher	n.打谷者? 打谷机? [鱼]长尾鲨
intentional	adj.故意的?策划的
enactment	n.设定?制定?n.制订， 颁布； 法律， 法规
seafood	n.海产食品? 海味
besiege	v.围困?围攻?vt.包围； 使应接不暇
unsubstantiated	adj.未经证实的?无事实根据的?adj.未经证实的， 无事实根据的
unaware	adj.不知道的? 没觉察到的
semimolten	adj.半熔的
incinerate	v.把烧成灰?烧弃?vt.焚化， 焚毁
topographical	adj.地志的?地形学的
festival	n.节日?喜庆日?adj.节日的?快乐的
canyon	n.<美>峡谷? 溪谷?n.峡谷
falconer	n.以鹰狩猎者?养鹰者
lien	n.留置权?抵押品所产生的利息
starfish	n.海星
dismember	v.肢解?割断手足
unquestionably	adv.无可非议地?确凿地
phylum	n.(生物分类学上的)门? 语群
spinet	n.古时的小型竖琴? 小型立式钢琴?n.小型立式钢琴
supremacy	n.地位最高的人?至高?霸权
rumor	n.流言?谣言?v.谣传? 传闻?n.传闻， 谣言
passageway	n.过道?出入口
Gothic	n.哥特式?adj.哥特式的?野蛮的?adj.哥特式的，哥特风格的?n.哥特式建筑
bluff	n.断崖?诈骗?adj.绝壁的?v.诈骗?v.虚张声势，吓唬?adj.直率的， 坦率的?n.悬崖，峭壁；虚张声势，唬人
versatility	n.多功能性
tonal	adj.音调的
inconvenient	adj.不便的?打扰的?adj.不便的； 让人不舒服的
contributor	n.贡献者?捐助者?n.投稿者； 贡献者， 捐助者； 促成物
overcultivation	n.耕种过度
saguaro	n.仙人掌之一种
taproot	n.[植]主根? 直根
firing	n.开火? 生火?v.开火?烧制
distributor	n.发行人?经销商
heed	n.注意?留意?v.注意?留意?n&v.注意， 留心
dissatisfy	v.使感觉不满? 不满足
adequacy	n.适当? 足够
uninteresting	adj.无趣味的，乏味的
minstrel	n.吟游诗人(或歌手)
ling	n.鳕鱼? 石南之一种
phosphate	n.磷酸盐
apiece	adv.每个? 每人? 各
walker	n.徒步者? 参加竞走者
taut	adj.(绳子)拉紧的?紧张的?vt.使纠缠?adj.绷紧的； 肌肉结实的； 结构严谨的， 紧凑的
spur	n.踢马剌?v.鞭策? 刺激?n.刺激；激励；马刺?vt.激励， 鼓舞； 刺激， 促进
stretcher	n.担架? 延伸器
hoof	n.蹄 v踢?n.蹄
discolor	v.使脱色? (使)变色?(使)退色
foreleg	n.前肢(指四肢或多肢动物的)前脚
buckskin	n.鹿皮裤? 鹿皮
fortify	v.增强(体力?结构等)?v.筑防御工事?vt.支持， 给…以勇气； 加强， 增强； 筑防御工事于
suspender	n.吊裤带? 悬挂物? 吊杆? 袜吊
buckle	n.带扣 v扣住? 变弯曲?v.扣紧； 变形， 弯曲?n.皮带扣环
chafe	v.(将皮肤等)擦热? 使恼火?v.擦破， 擦痛； 恼怒， 焦躁
tourniquet	n.止血带? 压脉器
bandanna	n.大手帕?n.色彩鲜艳的围巾
vestigial	adj.退化的?发育不全的
harem	n.（伊斯兰教教徒之）闺房? 为一个雄性动物所控制的许多雌性动物
nonfunctional	adj.不运行的
